,Cmd,Ct_err,Cc_err,CD,SP
"('M0M1_0.012_0.036_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,2.40359156,-100,168,259
"('M0M1_0.012_0.036_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,6.843028113,-100,168,259
"('M0M1_0.012_0.036_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,2.40359156,-100,168,259
"('M0M1_0.012_0.036_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,6.843028113,-100,168,259
"('M0M1_0.012_0.036_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,2.40359156,-100,168,259
"('M0M1_0.012_0.036_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,6.843028113,-100,168,259
"('M0M1_0.012_0.036_BBB', (0, 0, 0, 0, 0, False))",,2.745316371,-100,220,260
"('M0M1_0.012_0.036_BBB', (10, 0, 0, 0, 0, False))",,6.501127411,-100,220,260
"('M0M1_0.012_0.036_BBB_SRM_1', (0, 0, 0, 0, 0, False))",,1.331833622,-100,218,262
"('M0M1_0.012_0.036_BBB_SRM_1', (10, 0, 0, 0, 0, False))",,6.554524037,-100,218,262
"('M0M1_0.012_0.036_BBB_SRM_2', (0, 0, 0, 0, 0, False))",,1.331833622,-100,218,262
"('M0M1_0.012_0.036_BBB_SRM_2', (10, 0, 0, 0, 0, False))",,6.554524037,-100,218,262
"('M0M1_0.012_0.036_BBB_SRM_3', (0, 0, 0, 0, 0, False))",,1.331833622,-100,218,262
"('M0M1_0.012_0.036_BBB_SRM_3', (10, 0, 0, 0, 0, False))",,6.554524037,-100,218,262
"('M0M1_0.012_0.0385_AAA', (0, 0, 0, 0, 0, False))",,2.468464083,-100,126,379
"('M0M1_0.012_0.0385_AAA', (10, 0, 0, 0, 0, False))",,6.816912702,-100,126,379
"('M0M1_0.012_0.0385_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,2.115800667,-100,114,391
"('M0M1_0.012_0.0385_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,5.435077555,-100,114,391
"('M0M1_0.012_0.0385_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,2.115800667,-100,114,391
"('M0M1_0.012_0.0385_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,5.435077555,-100,114,391
"('M0M1_0.012_0.0385_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,2.115800667,-100,114,391
"('M0M1_0.012_0.0385_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,5.435077555,-100,114,391
"('M0M1_0.012_0.0385_ABA', (0, 0, 0, 0, 0, False))",,2.350313213,-100,278,280
"('M0M1_0.012_0.0385_ABA', (10, 0, 0, 0, 0, False))",,5.169502042,-100,278,280
"('M0M1_0.012_0.0385_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,2.165784832,-100,274,284
"('M0M1_0.012_0.0385_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,4.609957943,-100,274,284
"('M0M1_0.012_0.0385_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,2.165784832,-100,274,284
"('M0M1_0.012_0.0385_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,4.609957943,-100,274,284
"('M0M1_0.012_0.0385_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,2.165784832,-100,274,284
"('M0M1_0.012_0.0385_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,4.609957943,-100,274,284
"('M0M1_0.012_0.0385_BAB', (0, 0, 0, 0, 0, False))",,3.378394748,-100,172,280
"('M0M1_0.012_0.0385_BAB', (10, 0, 0, 0, 0, False))",,6.323133949,-100,172,280
"('M0M1_0.012_0.0385_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,1.883019903,-100,168,284
"('M0M1_0.012_0.0385_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,6.184278704,-100,168,284
"('M0M1_0.012_0.0385_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,1.883019903,-100,168,284
"('M0M1_0.012_0.0385_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,6.184278704,-100,168,284
"('M0M1_0.012_0.0385_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,1.883019903,-100,168,284
"('M0M1_0.012_0.0385_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,6.184278704,-100,168,284
"('M0M1_0.012_0.0385_BBB', (0, 0, 0, 0, 0, False))",,2.509138114,-100,224,281
"('M0M1_0.012_0.0385_BBB', (10, 0, 0, 0, 0, False))",,5.193067559,-100,224,281
"('M0M1_0.012_0.0385_BBB_SRM_1', (0, 0, 0, 0, 0, False))",,1.998338537,-100,220,285
"('M0M1_0.012_0.0385_BBB_SRM_1', (10, 0, 0, 0, 0, False))",,5.01876307,-100,220,285
"('M0M1_0.012_0.0385_BBB_SRM_2', (0, 0, 0, 0, 0, False))",,1.998338537,-100,220,285
"('M0M1_0.012_0.0385_BBB_SRM_2', (10, 0, 0, 0, 0, False))",,5.01876307,-100,220,285
"('M0M1_0.012_0.0385_BBB_SRM_3', (0, 0, 0, 0, 0, False))",,1.998338537,-100,220,285
"('M0M1_0.012_0.0385_BBB_SRM_3', (10, 0, 0, 0, 0, False))",,5.01876307,-100,220,285
"('M0M1_0.012_0.038_AAA', (0, 0, 0, 0, 0, False))",,2.601681679,-100,126,374
"('M0M1_0.012_0.038_AAA', (10, 0, 0, 0, 0, False))",,6.104110058,-100,126,374
"('M0M1_0.012_0.038_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,1.468750685,-100,114,386
"('M0M1_0.012_0.038_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,5.739819219,-100,114,386
"('M0M1_0.012_0.038_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,1.468750685,-100,114,386
"('M0M1_0.012_0.038_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,5.739819219,-100,114,386
"('M0M1_0.012_0.038_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,1.468750685,-100,114,386
"('M0M1_0.012_0.038_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,5.739819219,-100,114,386
"('M0M1_0.012_0.038_ABA', (0, 0, 0, 0, 0, False))",,1.562810055,-100,276,277
"('M0M1_0.012_0.038_ABA', (10, 0, 0, 0, 0, False))",,4.55917923,-100,276,277
"('M0M1_0.012_0.038_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.822134238,-100,274,279
"('M0M1_0.012_0.038_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,5.445905053,-100,274,279
"('M0M1_0.012_0.038_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.822134238,-100,274,279
"('M0M1_0.012_0.038_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,5.445905053,-100,274,279
"('M0M1_0.012_0.038_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.822134238,-100,274,279
"('M0M1_0.012_0.038_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,5.445905053,-100,274,279
"('M0M1_0.012_0.038_BAB', (0, 0, 0, 0, 0, False))",,2.28163199,-100,170,277
"('M0M1_0.012_0.038_BAB', (10, 0, 0, 0, 0, False))",,5.761557119,-100,170,277
"('M0M1_0.012_0.038_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,2.27743522,-100,168,279
"('M0M1_0.012_0.038_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,6.836545567,-100,168,279
